dataset,length,precision,recall,f1,auc,time
normality_1_daphnet.npy,445440,0.389,0.171,0.237,0.741,114.39
normality_1_genesis.npy,32440,0.0,0.0,0.0,0.724,21.51
normality_1_nasa-msl.npy,80427,0.257,0.209,0.231,0.777,36.84
normality_2_1_daphnet_genesis.npy,477880,0.381,0.18,0.244,0.736,139.23
normality_2_2_daphnet_nasa-msl.npy,525867,0.374,0.177,0.24,0.717,146.62
normality_2_3_genesis_nasa-msl.npy,112867,0.16,0.179,0.169,0.726,43.94
normality_3_1_daphnet_genesis_nasa-msl.npy,558307,0.371,0.186,0.248,0.75,156.58
normality_3_2_genesis_nasa-msl_daphnet.npy,558307,0.369,0.185,0.247,0.737,164.15
normality_3_3_nasa-msl_daphnet_genesis.npy,558307,0.371,0.186,0.248,0.757,149.03
