dataset,length,precision,recall,f1,auc
normality_1_daphnet.npy,35840,0.0,0.0,0.0,0.227
normality_1_genesis.npy,16220,0.012,0.012,0.012,0.176
normality_1_nasa-msl.npy,3969,0.005,0.005,0.005,0.432
normality_2_1_daphnet_genesis.npy,25820,0.011,0.011,0.011,0.17
normality_2_2_daphnet_nasa-msl.npy,36279,0.012,0.012,0.012,0.354
normality_2_3_genesis_nasa-msl.npy,18492,0.0,0.0,0.0,0.035
normality_3_1_daphnet_genesis_nasa-msl.npy,54363,0.008,0.008,0.008,0.482
normality_3_2_genesis_nasa-msl_daphnet.npy,53887,0.0,0.0,0.0,0.269
normality_3_3_nasa-msl_daphnet_genesis.npy,27871,0.01,0.01,0.01,0.158
