dataset,length,precision,recall,f1,auc
normality_1_daphnet.npy,35840,0.048,0.04,0.044,0.722
normality_1_genesis.npy,16220,0.16,0.015,0.027,0.389
normality_1_nasa-msl.npy,3969,0.077,0.077,0.077,0.441
normality_2_1_daphnet_genesis.npy,25820,0.0,0.0,0.0,0.676
normality_2_2_daphnet_nasa-msl.npy,36279,0.033,0.027,0.03,0.705
normality_2_3_genesis_nasa-msl.npy,18492,0.0,0.0,0.0,0.943
normality_3_1_daphnet_genesis_nasa-msl.npy,54363,0.072,0.043,0.054,0.487
normality_3_2_genesis_nasa-msl_daphnet.npy,53887,0.036,0.03,0.032,0.578
normality_3_3_nasa-msl_daphnet_genesis.npy,27871,0.0,0.0,0.0,0.667
